lottery_type,date,draw,main_numbers,supplementary,source
Saturday Lotto,2023-12-23,4427,1 20 24 31 37 39 ,19 41 ,ozlotteries.com
Saturday Lotto,2023-12-16,4425,8 12 13 17 39 41 ,27 32 ,ozlotteries.com
Saturday Lotto,2023-12-09,4423,9 11 25 32 33 44 ,2 20 ,ozlotteries.com
Saturday Lotto,2023-12-02,4421,10 14 21 22 23 42 ,7 11 ,ozlotteries.com
Saturday Lotto,2023-11-25,4419,17 20 30 36 37 44 ,4 19 ,ozlotteries.com
Saturday Lotto,2023-11-18,4417,7 8 15 16 26 31 ,6 44 ,ozlotteries.com
Saturday Lotto,2023-11-11,4415,1 2 23 24 28 30 ,29 39 ,ozlotteries.com
Saturday Lotto,2023-11-04,4413,1 5 14 15 34 42 ,40 45 ,ozlotteries.com
Saturday Lotto,2023-10-28,4411,12 13 14 18 30 35 ,2 43 ,ozlotteries.com
Saturday Lotto,2023-10-21,4409,2 7 12 29 30 31 ,9 33 ,ozlotteries.com
Saturday Lotto,2023-10-14,4407,7 10 11 23 24 38 ,4 14 ,ozlotteries.com
Saturday Lotto,2023-10-07,4405,18 23 25 28 35 37 ,8 16 ,ozlotteries.com
Saturday Lotto,2023-09-30,4403,6 20 27 29 43 45 ,9 36 ,ozlotteries.com
Saturday Lotto,2023-09-23,4401,4 13 16 21 29 45 ,6 11 ,ozlotteries.com
Saturday Lotto,2023-09-16,4399,11 23 27 28 37 41 ,1 2 ,ozlotteries.com
Saturday Lotto,2023-09-09,4397,7 9 11 14 15 29 ,17 23 ,ozlotteries.com
Saturday Lotto,2023-09-02,4395,9 16 32 37 40 41 ,26 30 ,ozlotteries.com
Saturday Lotto,2023-08-26,4393,6 10 18 32 33 37 ,21 23 ,ozlotteries.com
Saturday Lotto,2023-08-19,4391,14 16 24 34 41 44 ,21 30 ,ozlotteries.com
Saturday Lotto,2023-08-12,4389,5 10 30 32 34 42 ,19 45 ,ozlotteries.com
Saturday Lotto,2023-08-05,4387,1 2 18 24 36 43 ,9 31 ,ozlotteries.com
Saturday Lotto,2023-07-29,4385,3 14 32 37 42 45 ,17 20 ,ozlotteries.com
Saturday Lotto,2023-07-22,4383,1 5 14 26 32 33 ,8 37 ,ozlotteries.com
Saturday Lotto,2023-07-15,4381,18 25 31 32 37 39 ,12 34 ,ozlotteries.com
Saturday Lotto,2023-07-08,4379,5 26 29 34 37 41 ,31 42 ,ozlotteries.com
Saturday Lotto,2023-07-01,4377,6 7 19 21 26 38 ,13 36 ,ozlotteries.com
Saturday Lotto,2023-06-24,4375,4 8 21 29 30 37 ,38 45 ,ozlotteries.com
Saturday Lotto,2023-06-17,4373,8 24 27 36 39 41 ,22 26 ,ozlotteries.com
Saturday Lotto,2023-06-10,4371,2 11 12 23 42 43 ,7 44 ,ozlotteries.com
Saturday Lotto,2023-06-03,4369,1 12 24 26 37 41 ,25 45 ,ozlotteries.com
Saturday Lotto,2023-05-27,4367,7 8 22 28 34 37 ,1 23 ,ozlotteries.com
Saturday Lotto,2023-05-20,4365,2 8 11 12 25 32 ,16 22 ,ozlotteries.com
Saturday Lotto,2023-05-13,4363,6 22 23 24 33 36 ,18 34 ,ozlotteries.com
Saturday Lotto,2023-05-06,4361,2 8 13 17 30 35 ,5 34 ,ozlotteries.com
Saturday Lotto,2023-04-29,4359,4 15 16 18 35 45 ,11 17 ,ozlotteries.com
Saturday Lotto,2023-04-22,4357,4 29 32 34 38 41 ,11 27 ,ozlotteries.com
Saturday Lotto,2023-04-15,4355,4 16 23 31 39 43 ,17 18 ,ozlotteries.com
Saturday Lotto,2023-04-08,4353,4 6 9 11 13 40 ,18 20 ,ozlotteries.com
Saturday Lotto,2023-04-01,4351,5 10 25 36 39 45 ,8 40 ,ozlotteries.com
Saturday Lotto,2023-03-25,4349,8 9 10 14 39 42 ,12 31 ,ozlotteries.com
Saturday Lotto,2023-03-18,4347,1 6 15 21 43 44 ,34 42 ,ozlotteries.com
Saturday Lotto,2023-03-11,4345,1 4 9 10 29 42 ,7 17 ,ozlotteries.com
Saturday Lotto,2023-03-04,4343,1 9 13 32 33 34 ,8 15 ,ozlotteries.com
