GAME,"DRAW ID","DRAW DATE","MAIN NUMBERS",SUPP
oz_lotto,1390,"Tuesday 06 Oct 2020","12 26 22 13 10 43 25 ","34 2 "
oz_lotto,1389,"Tuesday 29 Sep 2020","41 2 21 25 7 22 12 ","1 4 "
oz_lotto,1388,"Tuesday 22 Sep 2020","3 2 37 22 45 18 34 ","30 14 "
oz_lotto,1387,"Tuesday 15 Sep 2020","18 44 31 41 2 10 36 ","5 23 "
oz_lotto,1386,"Tuesday 08 Sep 2020","2 15 13 10 21 24 34 ","22 42 "
oz_lotto,1385,"Tuesday 01 Sep 2020","41 14 33 30 18 17 37 ","12 43 "
oz_lotto,1384,"Tuesday 25 Aug 2020","13 7 27 16 17 40 3 ","6 41 "
oz_lotto,1383,"Tuesday 18 Aug 2020","45 43 10 22 26 12 21 ","19 1 "
oz_lotto,1382,"Tuesday 11 Aug 2020","30 43 10 5 27 22 17 ","25 35 "
oz_lotto,1381,"Tuesday 04 Aug 2020","32 34 41 33 36 25 29 ","3 4 "
oz_lotto,1380,"Tuesday 28 Jul 2020","10 27 26 18 23 32 36 ","20 5 "
oz_lotto,1379,"Tuesday 21 Jul 2020","29 38 18 32 13 16 39 ","37 15 "
oz_lotto,1378,"Tuesday 14 Jul 2020","41 2 1 40 24 43 28 ","37 8 "
oz_lotto,1377,"Tuesday 07 Jul 2020","12 9 13 7 32 5 4 ","19 35 "
oz_lotto,1376,"Tuesday 30 Jun 2020","28 26 17 39 1 44 38 ","14 41 "
oz_lotto,1375,"Tuesday 23 Jun 2020","41 13 3 17 20 9 1 ","28 45 "
oz_lotto,1374,"Tuesday 16 Jun 2020","1 2 21 22 13 27 38 ","24 33 "
oz_lotto,1373,"Tuesday 09 Jun 2020","38 31 39 26 8 11 27 ","3 36 "
oz_lotto,1372,"Tuesday 02 Jun 2020","26 42 20 18 6 28 11 ","45 37 "
oz_lotto,1371,"Tuesday 26 May 2020","22 30 24 12 5 3 27 ","39 28 "
oz_lotto,1370,"Tuesday 19 May 2020","24 11 21 25 19 23 45 ","33 41 "
